ID,PublishedAt,Duration
oYs66LF1_Tg,2024-12-26T11:00:53Z,PT22M45S
9suWVW62eTA,2024-12-19T10:30:05Z,PT11M52S
IrUkH5HkCOI,2024-12-12T10:30:07Z,PT15M57S
CkXaOgsIV9w,2024-12-05T10:30:06Z,PT16M51S
fLaU3DbrB4c,2024-11-28T10:30:24Z,PT17M34S
C2-NTFoffuI,2024-11-21T10:30:05Z,PT14M24S
F7n94zPfjko,2024-11-14T10:30:07Z,PT29M42S
X2NmrQuuDZI,2024-11-07T11:00:38Z,PT15M42S
CYRCkcPlp2c,2024-10-31T10:30:09Z,PT10M50S
WfM1tNEz1KU,2024-10-24T10:30:25Z,PT21M31S
aAQdZDRnXic,2024-10-17T11:00:03Z,PT12M40S
R8gcRB0MoJQ,2024-10-10T10:00:34Z,PT13M
WZzQ55Y0HiY,2024-10-03T10:00:40Z,PT11M50S
UReYWe6S7cU,2024-09-26T10:30:11Z,PT11M45S
242OcGaSoRk,2024-09-19T10:30:00Z,PT19M26S
VEJzn7Ikqyg,2024-09-12T10:04:18Z,PT11M43S
rUHEF4pqCEQ,2024-09-05T11:00:55Z,PT12M42S
Zdt_-Ag9mco,2024-08-29T10:00:43Z,PT14M55S
wGy1EmGQYgY,2024-08-22T10:00:55Z,PT14M58S
tPvfZ1PLx9s,2024-08-18T12:23:46Z,PT48M14S
Y7ZHubSvdoA,2024-08-18T00:18:23Z,P0D
KrvrKFgBVrE,2024-08-15T10:00:18Z,PT16M25S
30zB3Q19h6g,2024-08-11T23:05:28Z,PT1M
9jZ8UAkNoWg,2024-08-10T01:16:41Z,PT1H27S
0oJUX7Dmn5E,2024-08-08T10:00:01Z,PT13M41S
EpTJu-7-n6k,2024-08-05T11:34:47Z,PT1H6M56S
L88xzMv8FkE,2024-08-03T23:14:33Z,PT52S
FoKi1lwjp3E,2024-08-01T10:00:27Z,PT8M55S
jnTd6sfJPZk,2024-07-29T12:46:33Z,PT28S
L4gmAOdFIKE,2024-07-28T11:42:54Z,PT1H12M35S
jBaCI2nqIdk,2024-07-25T10:00:50Z,PT11M51S
40rL-BpPj0s,2024-07-20T09:33:42Z,PT1M
zNfJi8M15-g,2024-07-18T11:00:57Z,PT11M57S
bgnF0Jtyjxw,2024-07-12T23:22:20Z,PT48S
-uSFfPx9rnM,2024-07-11T10:00:00Z,PT9M48S
RUKl6t7RkKY,2024-07-06T23:29:24Z,PT36S
ihRjDwIyxk0,2024-07-04T10:00:49Z,PT11M49S
t2JgRiOooPQ,2024-06-27T10:01:49Z,PT14M53S
uB0Ju-4osQ8,2024-06-20T10:00:53Z,PT8M48S
X9auVKiZgsM,2024-06-13T10:00:28Z,PT17M34S
5VGxEzZoZIc,2024-06-06T10:00:09Z,PT13M20S
