ID,PublishedAt,Duration
71311uxv2Jw,2024-11-26T10:00:13Z,PT1M
EnTT_3-RtV0,2024-11-16T10:00:13Z,PT59S
pRoy-wOGDTk,2024-11-15T10:00:54Z,PT10M1S
awa8sGiCx80,2024-11-03T10:00:02Z,PT10M31S
zwUyVXOGq-c,2024-10-31T10:01:22Z,PT12M5S
SYTTioqccIw,2024-10-25T10:00:29Z,PT10M59S
Ayxy3XmiWZc,2024-10-11T10:00:18Z,PT8M30S
sWVmUQfUTzg,2024-10-05T10:00:57Z,PT1M
mDE-n75hjio,2024-10-03T10:00:51Z,PT11M44S
DhdFBYXr_fs,2024-09-27T10:00:11Z,PT8M24S
X3e2R9cy6WI,2024-09-18T10:00:35Z,PT59S
fFPNmEp8WVY,2024-09-04T10:00:43Z,PT1M
6jzzDhm5obA,2024-09-02T10:00:07Z,PT1M
csxjqA2Yn6Y,2024-08-17T10:00:37Z,PT1M1S
4tgxrwRNdz0,2024-08-14T10:00:04Z,PT1M
Ym-8jIuRW3Q,2024-05-14T10:00:27Z,PT59S
EuNjV9n1hrk,2024-05-12T10:00:11Z,PT59S
IS_66a4-L00,2024-05-07T10:00:13Z,PT1M
TYpHsfFjdK4,2024-05-04T10:00:31Z,PT3M59S
4S-ujU6Oj7o,2024-05-02T10:00:06Z,PT1M1S
385n79T56WU,2024-04-30T10:00:03Z,PT59S
w-jFGGepLlY,2024-04-23T10:00:54Z,PT58S
3H1JYOBIOP4,2024-04-18T10:00:03Z,PT1M
0VNoU1P63Yw,2024-04-15T10:00:00Z,PT59S
p8-uVwp_1_M,2024-04-05T10:00:46Z,PT8M32S
OvlWyRNotrY,2024-03-27T10:00:26Z,PT59S
E7I1TmSWoog,2024-03-25T10:00:19Z,PT8M39S
uonvdORljjY,2024-03-20T10:00:53Z,PT1M
E6o2svn4wYY,2024-03-18T10:00:08Z,PT1M1S
ipDb1GTZRKs,2024-03-15T10:00:37Z,PT8M45S
e1zfv3lCSns,2024-02-25T10:00:31Z,PT8M48S
u2QUnu8vfnE,2024-02-04T10:00:39Z,PT9M10S
s0WfAXGMPNU,2024-01-28T10:00:37Z,PT8M24S
GIvHG1-V6BE,2024-01-24T10:00:11Z,PT59S
60MwM_EJTIY,2024-01-19T10:00:04Z,PT8M58S
L3pNZYguAuY,2024-01-17T10:00:25Z,PT1M
d-BwSSdKy90,2024-01-12T10:00:24Z,PT3M22S
5DBw-CXAl0g,2024-01-10T10:00:05Z,PT58S
Q9elfNut9NU,2024-01-08T10:00:16Z,PT3M26S
5vyBsL_Uvyg,2024-01-05T10:00:04Z,PT8M30S
uitss_FK-wc,2023-12-28T10:00:41Z,PT3M42S
j39jUYdjBOI,2023-12-24T10:00:33Z,PT3M37S
rla7hxm-AJY,2023-12-20T10:00:39Z,PT3M33S
bUL3yB9S25s,2023-12-18T10:00:32Z,PT3M33S
Dv47p2SjjwQ,2023-12-15T10:00:14Z,PT8M41S
tX_A32I-K6U,2023-12-07T10:00:46Z,PT4M2S
OzQHVCnh6gc,2023-12-02T10:00:24Z,PT4M4S
IJleVueI2eA,2023-11-29T10:00:10Z,PT1M
N9t2zgbf5lU,2023-11-27T10:00:22Z,PT3M39S
nO30MiwN1qA,2023-11-24T10:00:42Z,PT4M1S
S22RCeSoTg4,2023-11-18T10:00:21Z,PT8M15S
-7VjAjtQW4I,2023-11-10T10:00:00Z,PT59S
rBT5h0D3TFw,2023-11-08T10:00:43Z,PT59S
79JTx7PuFUg,2023-11-06T10:00:05Z,PT58S
3_eBp2f2s2c,2023-10-30T10:00:04Z,PT8M16S
_L5QwBK050s,2023-10-29T10:00:33Z,PT1M
bRq15VLkpP8,2023-10-27T10:00:29Z,PT59S
hJT2qwF0rD4,2023-10-25T10:00:35Z,PT58S
28XRqBoyfBk,2023-10-20T10:00:03Z,PT8M42S
YqcfJg7rEfY,2023-10-13T10:00:26Z,PT1M
tbODM4iOlEk,2023-10-11T10:00:46Z,PT1M
w3aPDMoL1Es,2023-10-09T10:00:48Z,PT1M1S
oZ3WsCige0g,2023-10-06T10:00:44Z,PT3M20S
NHT8w7JwovU,2023-09-28T10:00:21Z,PT8M6S
6R65SVdDbtA,2023-09-21T22:00:07Z,PT1M
3evvPXq7tuA,2023-09-20T10:00:03Z,PT1M
jH4PQZblPzg,2023-09-18T10:00:26Z,PT56S
sUgvai3RPek,2023-09-13T10:00:43Z,PT3M41S
hPGBQffS6Hg,2023-09-08T10:00:38Z,PT59S
lw73QQ0BknA,2023-09-06T10:00:39Z,PT3M31S
XgOVyuB22wY,2023-08-28T10:00:32Z,PT8M4S
tOErkV_k-Fc,2023-08-21T10:00:46Z,PT55S
1lFKANp0XPE,2023-08-19T10:00:02Z,PT59S
Ey7OXBtGv34,2023-08-17T10:00:12Z,PT58S
xWgxaziORzQ,2023-08-14T10:00:53Z,PT8M23S
MdkJDxjC18g,2023-08-08T10:00:13Z,PT51S
hpOxrUXTbVI,2023-08-06T10:00:35Z,PT46S
c4FZHjM-YhQ,2023-08-04T10:00:35Z,PT49S
UfFeN8FwOC4,2023-08-02T10:00:25Z,PT59S
-SMwUBXcXRc,2023-07-31T10:00:00Z,PT12M27S
SXNysHV3OiQ,2023-07-27T10:00:23Z,PT1M
oDD1XcE1UX8,2023-07-22T10:00:39Z,PT8M11S
lEiUvRM8GKo,2023-07-17T10:00:38Z,PT54S
vU8yEHrIJHs,2023-07-14T10:00:49Z,PT54S
14vTT3jXtTY,2023-07-12T10:00:01Z,PT58S
eABL_Rn8t9Y,2023-07-10T10:00:34Z,PT8M40S
-i9lMZt7dZI,2023-07-07T10:00:00Z,PT59S
dMRVlDGd7Jw,2023-07-05T10:00:34Z,PT1M
cF2WXygBY9Q,2023-07-03T10:00:22Z,PT58S
ZRu3RCoP8u8,2023-06-30T10:00:28Z,PT58S
8iHqzmoNkKc,2023-06-28T10:00:06Z,PT59S
rPsj0P-fRa4,2023-06-27T10:00:42Z,PT59S
ZacY294n0FQ,2023-06-23T10:00:28Z,PT11M53S
rdJyDiVHjMo,2023-06-21T10:00:43Z,PT53S
JtiIn-6AXIw,2023-06-18T10:00:13Z,PT55S
iovwg6vR5SQ,2023-06-16T10:00:37Z,PT57S
yrSQYfChxW0,2023-06-14T10:00:57Z,PT53S
pJJ05KN8ju4,2023-06-09T10:00:41Z,PT8M3S
F9viJ1AHVEE,2023-06-06T10:00:10Z,PT1M
