ID,PublishedAt,Duration
bdqZejPupls,2025-01-01T10:00:06Z,PT12M28S
IU2iInNLUD0,2024-12-30T10:00:06Z,PT16M26S
pc1-PVBn72E,2024-12-27T10:00:06Z,PT12M42S
ZAurJ1xzuYY,2024-12-25T10:00:06Z,PT14M10S
e3ykl1dRFUw,2024-12-23T10:00:06Z,PT15M18S
5xRWEhpWhc4,2024-12-18T10:00:06Z,PT12M35S
v4mvDlmobiQ,2024-12-16T10:00:06Z,PT13M28S
605TvBV-iQM,2024-12-13T10:00:06Z,PT14M7S
W9WAOig6CK4,2024-12-11T10:00:06Z,PT13M26S
rI3Pgh_c7Eo,2024-12-09T10:00:06Z,PT15M10S
Sl1Ex04O-_U,2024-12-06T10:00:06Z,PT12M45S
FFTeIIfyp2o,2024-12-04T10:00:06Z,PT15M18S
rNg4l8vHBgA,2024-12-02T10:00:06Z,PT14M49S
QqUYD2Br134,2024-11-29T10:00:06Z,PT15M23S
x4oJD-jaA8s,2024-11-27T10:00:06Z,PT16M39S
XujI6BPXpD4,2024-11-25T10:00:06Z,PT15M5S
sgkJR23ps_Y,2024-11-22T10:00:06Z,PT12M47S
or9u_GgCyNY,2024-11-20T10:00:06Z,PT13M15S
kj9B05f4XRI,2024-11-18T10:00:06Z,PT15M31S
Ehay-Ibgn7I,2024-11-15T10:00:06Z,PT14M27S
j9aNiW8W4FA,2024-11-13T10:00:06Z,PT14M10S
c9nE9V2lHiQ,2024-11-11T10:00:06Z,PT16M20S
OZYI4my1NyQ,2024-11-08T10:00:06Z,PT13M23S
q31OtrBt8lw,2024-11-06T10:00:06Z,PT13M20S
XGH3jhi3jzc,2024-11-04T10:00:06Z,PT14M45S
FjoBIfZkSaw,2024-11-01T10:00:06Z,PT14M12S
DM-pN1bL9Kw,2024-10-28T10:00:06Z,PT13M3S
1BsKoPJa3ak,2024-10-25T10:00:06Z,PT15M14S
jjuEnXChzG8,2024-10-21T10:00:06Z,PT15M1S
iuVZEOs63I8,2024-10-18T10:00:06Z,PT14M8S
Ew6ptIYNrWg,2024-10-14T10:00:26Z,PT14M57S
xZ0jYTBMuBQ,2024-10-11T10:00:06Z,PT12M40S
1yA7BKsCZLc,2024-10-07T10:00:29Z,PT13M11S
u8bViEXz7YU,2024-10-04T10:00:26Z,PT12M40S
sl4EiZJ8anQ,2024-09-30T10:00:29Z,PT14M17S
uEfQIBEGMVU,2024-09-27T10:00:31Z,PT11M54S
EWlxweX8sjc,2024-09-20T10:00:24Z,PT12M41S
4gMbv2NCEV4,2024-09-13T10:00:07Z,PT12M46S
WIgd2BXQomw,2024-09-06T10:00:06Z,PT13M4S
VSUOAzNHWIo,2024-08-30T10:00:07Z,PT12M22S
TfxzJ5loziI,2024-08-23T10:00:07Z,PT11M33S
