ID,PublishedAt,Duration
8YPcepqq_54,2026-01-10T11:00:15Z,PT15M8S
VygWnfhNOM4,2026-01-06T11:01:03Z,PT19M40S
FQ3ljdBUWJY,2026-01-04T11:00:23Z,PT29S
u9NZfWUPgW4,2025-12-31T11:01:45Z,PT13M7S
w4I89cNaxDA,2025-12-31T07:57:40Z,PT50S
FpouBMfm6YI,2025-12-29T11:00:25Z,PT47S
EeBP-roBqqk,2025-12-28T11:00:20Z,PT13S
Lt4167sMwjg,2025-12-27T11:00:47Z,PT18M36S
DInUV24B0wo,2025-12-24T11:00:33Z,PT15M26S
1B_XWDK5F7M,2025-12-18T11:00:07Z,PT12M55S
Di72Vn3cTEw,2025-12-14T11:00:21Z,PT24M42S
Lt6EnKK2WVA,2025-12-13T11:00:43Z,PT14M33S
Lg-fr87UnE8,2025-12-11T11:00:43Z,PT30S
93cN66Pgb78,2025-12-11T11:00:26Z,PT21M47S
eK6c9TxQLwY,2025-12-10T11:01:30Z,PT32M46S
PEqUqedB750,2025-12-10T10:00:46Z,PT43S
iH6Xl-QZdvQ,2025-12-09T11:01:24Z,PT25S
fZYakiYYnLs,2025-12-08T11:01:18Z,PT17S
treX1KkHyts,2025-12-07T11:01:43Z,PT21M53S
BP7jEHYMxog,2025-12-05T11:00:22Z,PT23M22S
bCCETkCFvwU,2025-12-03T11:01:22Z,PT27M57S
ISPSDy8RQNQ,2025-12-01T11:00:37Z,PT29M10S
ze-gHlkv12c,2025-11-30T11:02:00Z,PT23S
ewqhVzWZP44,2025-11-29T11:01:26Z,PT26M35S
nEFh6zbMArk,2025-11-26T11:01:40Z,PT30M7S
CWNna7uf-Gs,2025-11-26T11:00:20Z,PT14S
QxzpLg_JADo,2025-11-22T11:01:01Z,PT24M15S
eL0HINDvu-E,2025-11-19T11:01:18Z,PT19S
F_hSESBfrvs,2025-11-19T11:00:37Z,PT26M32S
Ky75owb0TBI,2025-11-16T11:00:29Z,PT41S
vdL2ch9bzrM,2025-11-15T11:01:45Z,PT28M29S
1DHMUyBJ2qw,2025-11-12T11:00:06Z,PT26M56S
O2xYC6QppLQ,2025-11-11T11:00:53Z,PT14S
oTJerDggPDg,2025-11-08T11:01:24Z,PT30M21S
xWyBi3I8yCs,2025-11-05T11:02:02Z,PT25M26S
_5kNPtnztx0,2025-11-03T10:57:37Z,PT14S
_kxYmy828bw,2025-11-01T11:01:08Z,PT29M54S
