ID,PublishedAt,Duration
wvUNbQ4PAIE,2025-01-01T13:57:02Z,PT14M34S
XTDfh1N6A0g,2024-12-31T16:13:40Z,PT2H3M12S
HfY9c-Hmd70,2024-12-30T14:28:58Z,PT19M43S
d2_J_eP7mG4,2024-12-29T10:52:30Z,PT49M
LUONunnvCEM,2024-12-28T08:54:19Z,PT1H14M3S
XhldrbORIto,2024-12-27T10:25:37Z,PT1H38M34S
YRvJqNWAkls,2024-12-25T15:24:11Z,PT24M21S
MfqU5MDxgN0,2024-12-24T20:25:48Z,PT8H38M32S
cvtpxS7zUnc,2024-12-22T15:06:38Z,PT1H44M2S
dKoVGimgz_c,2024-12-15T16:28:18Z,PT42M48S
T_AARWAQi_o,2024-12-12T16:32:28Z,PT5H9M58S
hZRolXGPaQs,2024-12-11T21:15:07Z,PT8H58M47S
nmgFFr-hzeE,2024-12-10T21:35:43Z,PT9H16M30S
ukr0A1ShEJQ,2024-12-09T22:14:44Z,PT10H16M16S
UaRprM-gX0U,2024-12-09T10:42:17Z,PT2H17M46S
719xXijzVgo,2024-12-08T21:22:18Z,PT6H56M50S
Vw_R5zSw5Yw,2024-12-07T21:29:13Z,PT10H15M40S
ynLxQq_IuYw,2024-12-06T21:15:27Z,PT4H11M58S
Rt0YWh5K2GU,2024-12-05T21:24:06Z,PT2H45M24S
93-iXljSZis,2024-12-04T22:02:34Z,PT9H45M24S
hBARi1coGok,2024-12-03T15:27:40Z,PT3H31M41S
VRLzEQrmruo,2024-12-03T09:25:34Z,PT1H11M33S
LtwRCI10HRo,2024-11-29T08:35:02Z,PT2H35M44S
WmwMskEy_tk,2024-11-27T16:30:17Z,PT3H18M58S
9nHw-fijOdw,2024-11-26T14:17:59Z,PT2H10M21S
wSHxlROwPcA,2024-11-24T11:05:02Z,PT31M29S
7kDpKi-RMyM,2024-11-22T12:55:46Z,PT1H4M10S
hN_q6QyrFpI,2024-11-20T15:48:51Z,PT2H27M51S
Kq2M1rZuHUo,2024-11-19T14:10:07Z,PT1H34M53S
5FkDX4yvEzA,2024-11-18T12:37:08Z,PT31M5S
VpT9Ip8YINA,2024-11-16T12:04:26Z,PT52M12S
7PxouB7i1d4,2024-11-14T10:44:36Z,PT55M
H6XgKJbQZAY,2024-11-13T16:32:23Z,PT3H23M48S
5x9aBKu9qTY,2024-11-12T13:50:45Z,PT27M21S
1hBC7c9wbf4,2024-11-11T10:28:05Z,PT1H3M28S
eik4CgyYdqc,2024-11-08T12:44:10Z,PT2H12M38S
4qMXMTby4V0,2024-11-05T09:09:32Z,PT57M50S
Fa00ZXQ80EQ,2024-11-03T13:27:40Z,PT7H49M50S
eg0_yPUbTiA,2024-11-02T10:15:25Z,PT1H3M48S
97N5FHjlXkc,2024-10-30T16:49:55Z,PT3H40M18S
X5iftr_-uxg,2024-10-29T14:51:36Z,PT1H2M35S
XsEOlPGlIlg,2024-10-27T11:35:25Z,PT1H22M25S
ODFYC6A7Z2I,2024-10-24T12:22:31Z,PT1H56M6S
EoxSMbWEQz8,2024-10-23T16:41:18Z,PT3H28M41S
KVOzlazXcIY,2024-10-22T12:33:21Z,PT22M14S
Gjq-P3OLRDo,2024-10-21T09:45:07Z,PT1H47M44S
Ff-DmiSCulw,2024-10-20T10:54:24Z,PT50M29S
iYXcPUIPH5w,2024-10-19T10:12:34Z,PT1H4M56S
HmoPu0O1HKw,2024-10-16T17:14:23Z,PT4H1M17S
hOIemrxJOvU,2024-10-14T11:04:18Z,PT14M54S
eckYG-YNi24,2024-10-13T10:48:23Z,PT44M28S
Rw4o8U5-0Vk,2024-10-12T11:00:22Z,PT49M13S
Culk5S7gDLM,2024-10-09T17:34:52Z,PT4H2M8S
zuqqByl17xI,2024-10-06T09:10:22Z,PT2H24M33S
mBBPcaaCWL0,2024-10-04T10:38:54Z,PT1H4M57S
ooaQM_kuKrU,2024-10-02T14:15:10Z,PT2H7M58S
vLArb0JiWuc,2024-10-01T14:52:55Z,PT1H42M25S
VChrENn9s0g,2024-09-29T14:33:59Z,PT1H4M58S
yG0k4JwW6Vw,2024-09-28T12:51:42Z,PT39M55S
0-TEl7Hz3Z0,2024-09-25T16:23:45Z,PT3H11M48S
grwUctrGPGY,2024-09-23T11:53:17Z,PT36M51S
R6NjfwXubW4,2024-09-22T10:11:31Z,PT7H10M12S
nlbDMbKWfCE,2024-09-20T12:53:25Z,PT45M12S
c2UKbb1m3Ww,2024-09-17T16:12:52Z,PT2H22M35S
