ID,PublishedAt,Duration
xg5NN0yAAgI,2025-01-02T09:00:59Z,PT52S
zZFMbBG0NwU,2025-01-01T11:01:10Z,PT49S
2olkspUCOt4,2025-01-01T09:00:05Z,PT53S
74dHPoMbMf0,2024-12-31T11:00:09Z,PT56S
MDLhz_IAPlw,2024-12-31T09:00:21Z,PT57S
99_Tx7BZOv0,2024-12-31T08:00:06Z,PT7H38M31S
TmLsCDHv4c0,2024-12-30T11:00:37Z,PT54S
n8dbTzSC04I,2024-12-30T09:00:55Z,PT26M44S
pASsArAUINo,2024-12-30T09:00:52Z,PT54S
lXRV9jy0KJE,2024-12-29T11:00:56Z,PT54S
HAYTBo5n_8s,2024-12-29T09:00:25Z,PT54S
f--rSu4c7Ns,2024-12-28T11:00:48Z,PT50S
5sF1EuwYq7k,2024-12-28T09:00:09Z,PT51S
-bUKrCGpjho,2024-12-27T11:00:00Z,PT53S
wmfPXndtSf8,2024-12-27T09:01:10Z,PT54S
F_sN06CVlBE,2024-12-27T09:00:16Z,PT25M52S
3vtAzJYVAfA,2024-12-26T11:00:03Z,PT55S
kTMrVB1le3I,2024-12-26T09:00:44Z,PT54S
G-p7PAxirjE,2024-12-26T09:00:23Z,PT3H30M48S
L0m-srzOwAU,2024-12-25T11:00:21Z,PT55S
SH-MLp7TFuY,2024-12-25T09:00:34Z,PT54S
V3EkVX_a1M4,2024-12-24T11:00:41Z,PT59S
q5VWGkVXAMQ,2024-12-24T09:01:02Z,PT56S
odihhkdmagU,2024-12-23T11:01:02Z,PT56S
nnwnqdlHduE,2024-12-23T09:00:58Z,PT55S
3grkm4v4AKs,2024-12-23T09:00:05Z,PT24M48S
xUnhB3SKQYU,2024-12-22T11:01:04Z,PT53S
wtNZJmqOupk,2024-12-22T09:30:17Z,PT53S
cd1S22XOehw,2024-12-22T09:00:37Z,PT3H16M57S
h34cIxt6TSM,2024-12-21T11:00:48Z,PT1M
REedxhrF3Qs,2024-12-21T09:00:21Z,PT59S
LeDfKo9BL_s,2024-12-20T11:00:24Z,PT56S
RezrPP-rDg8,2024-12-20T09:00:34Z,PT56S
0qB8gvvZ-VI,2024-12-19T11:00:01Z,PT51S
c6owPvGDJ-8,2024-12-19T09:00:39Z,PT55S
4EwG_NWv5jA,2024-12-19T09:00:05Z,PT24M25S
loGqytGo4gs,2024-12-18T11:01:03Z,PT53S
ph5gUQKj49c,2024-12-18T09:00:53Z,PT52S
y2FTHeT10GM,2024-12-17T11:01:07Z,PT56S
LdL7qhDXn7I,2024-12-17T09:00:31Z,PT55S
oDGQ4ctGfOo,2024-12-16T11:00:56Z,PT53S
obj7vesaSTg,2024-12-16T09:00:52Z,PT25M5S
KUOUhNrUrO0,2024-12-16T09:00:25Z,PT54S
51N0q3obi5E,2024-12-15T11:00:03Z,PT53S
WdoHBI-Fiv8,2024-12-15T09:00:27Z,PT54S
ovQNaWye6WM,2024-12-14T11:01:03Z,PT57S
Wkju0H22QW4,2024-12-14T09:00:34Z,PT56S
rnDLQpV2OM4,2024-12-13T11:01:05Z,PT57S
wqIglEvTVNY,2024-12-13T09:01:06Z,PT55S
aPnEbKSwLZY,2024-12-13T09:00:01Z,PT21M59S
q3-euAXpe0o,2024-12-12T11:01:03Z,PT53S
3cxmKENhAdU,2024-12-12T09:00:05Z,PT54S
i3mJh6E_y64,2024-12-11T11:00:59Z,PT57S
XNIVhxHxLGo,2024-12-11T09:00:35Z,PT56S
e-Bk0kKXm-E,2024-12-10T11:00:51Z,PT52S
