ID,PublishedAt,Duration
b785fdrHCTg,2025-01-01T12:00:41Z,PT9M4S
okImaetW2LQ,2024-12-28T12:00:58Z,PT9M9S
cbhSO4pcsgE,2024-12-25T12:00:46Z,PT8M27S
s28inr3V70U,2024-12-21T12:01:09Z,PT9M3S
ZRMNqJ7rvw0,2024-12-18T12:00:53Z,PT9M23S
IyiRJ8SfpTo,2024-12-14T12:00:30Z,PT9M29S
F1AqExIYzzs,2024-12-11T12:00:30Z,PT9M18S
gqWHqJw_ouY,2024-12-07T12:00:52Z,PT10M39S
1iafKM5soL4,2024-12-04T12:00:03Z,PT8M31S
6YNp77f7ha4,2024-11-30T12:00:06Z,PT7M58S
kjyAM7gHRDo,2024-11-27T12:00:56Z,PT9M5S
fKLMexaZwek,2024-11-23T12:00:56Z,PT9M19S
6d6DMcrRV_s,2024-11-20T12:00:12Z,PT8M6S
NuZTi31zoio,2024-11-16T12:00:25Z,PT9M45S
5oIuMFBOOpw,2024-11-13T12:00:06Z,PT8M10S
PLQKRE1cP8A,2024-11-09T12:00:33Z,PT9M24S
xUoPLSffhns,2024-11-06T12:01:14Z,PT9M17S
ZStVbTJyKW8,2024-11-02T12:00:41Z,PT10M3S
XGTtcNRQVLU,2024-10-30T12:00:50Z,PT9M22S
LkidPxl6T4w,2024-10-26T12:00:20Z,PT9M3S
7qzBnocxMKA,2024-10-23T12:00:10Z,PT8M30S
RIFfc7XVWm4,2024-10-19T12:00:37Z,PT8M26S
4rEDYdpnCtA,2024-10-16T12:00:08Z,PT9M20S
TfGOCEreOqw,2024-10-12T12:00:35Z,PT10M10S
kOFHu6Nj37w,2024-10-09T12:01:00Z,PT8M7S
uLk8gxXcMQY,2024-10-05T12:19:24Z,PT8M24S
O5HzNw4CU5o,2024-10-02T12:00:22Z,PT8M46S
NwTZdGwk0OU,2024-09-28T12:00:31Z,PT9M41S
FLOlQMtwMuI,2024-09-25T12:00:28Z,PT8M11S
hucYfG0sJEg,2024-09-21T12:00:50Z,PT10M2S
cIfCY-Q7FME,2024-09-18T12:00:51Z,PT8M1S
wf40hzDlQ14,2024-09-14T12:01:08Z,PT10M15S
dRf-S2BImrg,2024-09-11T12:00:50Z,PT10M24S
OnoaSkbaiQE,2024-09-07T12:00:23Z,PT9M38S
vH1aIjFWw9k,2024-09-04T12:01:10Z,PT10M27S
Y2fNeIXzsnM,2024-08-31T12:00:37Z,PT10M24S
FVlygSUXsi8,2024-08-28T12:00:16Z,PT10M33S
KgvzrSQYdYo,2024-08-24T12:00:19Z,PT9M56S
_1ujtk6u6r4,2024-08-21T12:00:44Z,PT9M6S
yuu2k8ub-ds,2024-08-17T12:01:04Z,PT9M34S
IliIU-x7MM8,2024-08-14T12:00:20Z,PT10M30S
DmKeEY4Tnnk,2024-08-10T12:00:12Z,PT9M25S
gG__v6A4abI,2024-08-07T12:00:56Z,PT9M28S
XtBu055P75I,2024-08-03T13:13:47Z,PT9M10S
-yknZ0FQiZc,2024-07-31T12:00:00Z,PT9M45S
XOIIljgUK4Y,2024-07-27T12:00:36Z,PT8M26S
hn-A_t1E5g8,2024-07-24T12:00:44Z,PT9M51S
XwcuH-wDswM,2024-07-20T12:00:29Z,PT9M19S
Fs8fbuINa4w,2024-07-17T12:00:15Z,PT11M27S
h2Wopscjbnk,2024-07-13T12:00:41Z,PT10M1S
6tjMUDLfb8E,2024-07-10T12:00:12Z,PT9M31S
BCBJll0wMVQ,2024-07-06T12:14:11Z,PT9M49S
bMSDxpaIO-o,2024-07-03T12:00:39Z,PT9M35S
sF1-sfawzGQ,2024-06-29T12:00:55Z,PT9M23S
_g_Rb1I7eio,2024-06-26T12:00:40Z,PT8M45S
YnlYgijMJJU,2024-06-22T12:00:36Z,PT12M13S
2MhIjSsK-IE,2024-06-19T12:00:03Z,PT9M44S
4TlLeugyAaM,2024-06-15T12:00:04Z,PT11M6S
K12xQGhU6Lg,2024-06-12T12:00:19Z,PT8M32S
B2k421RM1qw,2024-06-08T12:00:09Z,PT8M59S
9nRNoSfYFRE,2024-06-05T12:00:14Z,PT8M47S
yDjK_dmArwc,2024-06-01T12:01:05Z,PT9M20S
0krC6IxeNRw,2024-05-29T12:00:01Z,PT10M18S
HStSDFy4oTc,2024-05-25T12:00:27Z,PT10M51S
L_tvyc_ja1M,2024-05-22T12:00:30Z,PT10M9S
7ClaaQDogho,2024-05-18T12:00:12Z,PT8M54S
D5YH1szjwVA,2024-05-15T12:00:13Z,PT9M23S
3Sjxig8QwXc,2024-05-11T12:00:07Z,PT10M12S
L2FVWxatClg,2024-05-08T12:00:17Z,PT8M42S
Y-cMtRorvc8,2024-05-04T12:00:29Z,PT9M41S
N3hTqjSEtvU,2024-05-01T12:00:16Z,PT8M47S
tSDVF9WRtb4,2024-04-27T12:00:50Z,PT9M16S
aARYXWSQMro,2024-04-24T12:00:00Z,PT9M10S
stn3wD1UXac,2024-04-20T12:00:58Z,PT11M
pqVJaFWBRfw,2024-04-17T12:00:45Z,PT9M38S
usa1vKHEWJM,2024-04-13T12:00:57Z,PT9M37S
fPAtj1nHWHY,2024-04-10T12:00:40Z,PT9M37S
UozkgEJhInw,2024-04-06T12:00:33Z,PT9M42S
lQZx_thlNe8,2024-04-03T12:00:42Z,PT10M34S
kPxgvxm3jac,2024-03-30T12:00:40Z,PT9M8S
XiULeQkOWZk,2024-03-27T12:00:27Z,PT9M27S
JImDOzC5tYc,2024-03-23T12:00:15Z,PT10M2S
l1BHj3l9j7w,2024-03-20T12:00:41Z,PT11M15S
8XNFVNMU6xg,2024-03-16T12:00:09Z,PT10M18S
X04vzIH03FA,2024-03-13T12:00:33Z,PT9M42S
QQiJ1XEReRY,2024-03-09T12:00:31Z,PT9M9S
djSRLGJvJ60,2024-03-06T12:00:30Z,PT11M57S
AqtCiNfHMsU,2024-03-02T12:00:10Z,PT10M51S
kaAB9JtBX78,2024-02-28T12:00:49Z,PT11M13S
24BB6YWuhHk,2024-02-24T12:00:05Z,PT10M7S
PKiT0Z5UvzY,2024-02-21T12:00:21Z,PT11M13S
HOy5DdN-298,2024-02-17T12:00:20Z,PT10M3S
5gwiZ3f8ioA,2024-02-14T12:00:03Z,PT11M9S
FsMV29NDvOA,2024-02-10T12:00:11Z,PT10M52S
xF133R_v1Tc,2024-02-07T12:00:59Z,PT9M51S
tdDySKDav1A,2024-02-03T12:00:48Z,PT11M34S
wStagALffl0,2024-01-31T12:00:55Z,PT10M28S
CiuoiAuClT0,2024-01-27T12:00:18Z,PT10M56S
e8VofzDoIg0,2024-01-24T12:00:36Z,PT9M41S
XPmBoxIhUjE,2024-01-20T12:00:34Z,PT9M10S
EiRmMnVrR_I,2024-01-17T12:00:13Z,PT11M54S
QqadAEfmBpc,2024-01-13T12:00:32Z,PT9M36S
uHzo3ITfPoI,2024-01-10T12:00:48Z,PT8M43S
YtBzJxhN2Wg,2024-01-06T12:00:23Z,PT11M52S
sAAYhkEpXzI,2023-12-30T12:00:44Z,PT11M9S
u4oMcaCqw_s,2023-12-27T12:00:51Z,PT13M39S
9Fa9iAKxaH0,2023-12-23T12:00:10Z,PT10M47S
Kv-v0pg4FFA,2023-12-20T12:00:15Z,PT10M49S
8FMW5eAAi4E,2023-12-16T12:00:11Z,PT11M41S
1XvvfQtVAdA,2023-12-13T12:00:03Z,PT11M34S
GN8uAVMsJj4,2023-12-09T12:00:10Z,PT10M33S
yvXsqG0M71w,2023-12-06T12:00:52Z,PT11M55S
TZtXn2GzA9Q,2023-12-02T12:00:21Z,PT10M48S
Xea2chd7Xck,2023-11-29T22:34:22Z,PT11M1S
59fQdknVEh8,2023-11-25T12:00:08Z,PT12M43S
FBRZOqn8UH4,2023-11-22T12:00:15Z,PT13M16S
YabvHJERUJI,2023-11-18T12:00:23Z,PT14M42S
Fe-gJ-QyQxE,2023-11-15T12:00:14Z,PT12M1S
c6XxPwlVi3A,2023-11-11T12:00:30Z,PT12M9S
U_DtQLDlfx4,2023-11-08T14:33:12Z,PT12M58S
f9c_vwjbAkA,2023-11-04T12:00:40Z,PT11M1S
