ID,PublishedAt,Duration
bdqZejPupls,2025-01-01T10:00:06Z,PT12M28S
iH4qZTvujog,2025-01-03T10:00:06Z,PT16M6S
YZ95KV3guLY,2025-01-04T11:00:41Z,PT15M28S
S3XOnOMyXxM,2025-01-05T09:03:00Z,PT4M51S
p1nt7XA86PE,2025-01-06T10:00:06Z,PT13M31S
TUpjHZBusMU,2025-01-06T11:00:39Z,PT20M12S
6H4cd9IAUKw,2025-01-08T11:00:07Z,PT6M7S
iIkEj1rZWa0,2025-01-09T10:00:45Z,PT14M57S
ImGGoNotG0s,2025-01-10T10:00:06Z,PT14M23S
CwmxoYqIfjE,2025-01-11T11:00:15Z,PT21M18S
QtAdD5Ild1M,2025-01-12T09:02:00Z,PT7M22S
zSNO2oKpv3M,2025-01-13T10:00:06Z,PT13M45S
TE7C7K41Ous,2025-01-14T11:00:36Z,PT23M13S
f8VW0LUapGQ,2025-01-15T09:03:00Z,PT8M53S
HFi_iOaeOoQ,2025-01-16T10:00:18Z,PT14M59S
yCBORBYxk_8,2025-01-16T11:01:18Z,PT11M48S
liP9RM2XlnQ,2025-01-17T09:00:57Z,PT56S
uTXjZKjkecs,2025-01-17T10:00:06Z,PT14M37S
s0QcmQqal4E,2025-01-18T11:01:08Z,PT26M29S
RFjSdxe9y30,2025-01-20T10:00:06Z,PT13M4S
cihuDMzcS4E,2025-01-20T10:11:00Z,PT14M26S
tNIphzhKukI,2025-01-20T22:00:38Z,PT13M13S
YyPgxhNUMVg,2025-01-21T11:00:49Z,PT15M12S
YwpnupVXIt4,2025-01-22T09:00:40Z,PT49S
gQ9llqyS65Q,2025-01-22T11:01:01Z,PT33S
pf-_B-nyU3k,2025-01-23T10:00:53Z,PT10M31S
-_HTpACeXNc,2025-01-23T11:00:00Z,PT15M37S
nNiX_yaMmwc,2025-01-24T10:00:06Z,PT16M57S
cHhFQV9SXKE,2025-01-25T09:17:00Z,PT7M27S
mK_W3170E5I,2025-01-25T11:01:06Z,PT18M20S
s6BZxljFkuU,2025-01-27T10:00:06Z,PT14M43S
sI2fDuGiUZM,2025-01-28T08:03:00Z,PT17M29S
50JyL8uW9Sw,2025-01-28T11:00:05Z,PT16M39S
l6zMRcVgsf0,2025-01-30T10:02:10Z,PT10M53S
Blt9nWAD3yE,2025-01-31T10:00:06Z,PT12M33S
SKUU2CMDYNU,2025-01-31T11:00:37Z,PT10M52S
CKO9WQUe9oM,2025-02-02T11:00:13Z,PT24M14S
sodqSOF4OVw,2025-02-03T10:00:06Z,PT14M31S
IVxhSgRGKMs,2025-02-03T22:57:58Z,PT48S
NK8v_Ab_4DQ,2025-02-04T11:00:25Z,PT19M23S
xBM5iOcVFsA,2025-02-05T10:01:07Z,PT10M40S
KCJQy6jc5bY,2025-02-05T11:00:22Z,PT1M11S
D_4czELduwY,2025-02-06T10:00:15Z,PT18M56S
s-P3tvAcDnQ,2025-02-06T11:01:15Z,PT4M1S
pW08BRIHI4g,2025-02-07T10:00:06Z,PT13M32S
fg2SK0rzCus,2025-02-08T07:03:00Z,PT9M33S
ww1a0C97XqY,2025-02-08T11:01:12Z,PT10M14S
3eIsK8kml3I,2025-02-08T22:00:02Z,PT11M39S
7XzLiUsngsU,2025-02-09T11:00:13Z,PT32S
-vRgAhK65Gw,2025-02-10T10:00:06Z,PT13M5S
LZtaILr26wY,2025-02-11T11:00:21Z,PT10M42S
BvRgkYgixvM,2025-02-12T10:00:06Z,PT12M39S
W9blrKPyYIs,2025-02-13T10:00:39Z,PT12M59S
J0_grhzI-ao,2025-02-14T09:00:22Z,PT2M59S
VmqSfwXyZz4,2025-02-14T10:00:06Z,PT12M45S
DGN-nPVuMnI,2025-02-14T10:32:00Z,PT5M7S
YpFYewDFuWs,2025-02-14T11:00:49Z,PT14M37S
IKi550VXKTk,2025-02-16T08:55:16Z,PT37S
HsZa2xZL-Ic,2025-02-17T09:03:00Z,PT11M24S
G19HTsmLaik,2025-02-17T10:00:07Z,PT13M48S
Zv2HPYIbfps,2025-02-18T11:00:54Z,PT19M25S
ll6postQ8dU,2025-02-19T10:00:06Z,PT13M42S
zRAIPAP6AO0,2025-02-20T10:01:15Z,PT12M38S
USNLdnGlU8U,2025-02-21T10:00:06Z,PT13M34S
yp1Uoq3-Qyo,2025-02-22T07:55:00Z,PT52S
t20ZHjOkmCo,2025-02-22T11:01:12Z,PT12M26S
4WPqg_lSY30,2025-02-23T03:30:02Z,PT1M40S
32fdwu9DSDI,2025-02-23T10:02:00Z,PT7M48S
rFjV2ODlGpA,2025-02-24T10:00:06Z,PT14M39S
YmOp5T7jf-o,2025-02-24T12:31:03Z,PT21M31S
6-R4RSH1Sv8,2025-02-25T11:00:08Z,PT25M5S
yvUEJuzTzFc,2025-02-26T10:00:06Z,PT14M15S
RIHAbXYmLgs,2025-02-27T10:00:29Z,PT18M36S
rNaN5DWDGZM,2025-02-28T10:00:06Z,PT15M14S
wAKElkQ7qSA,2025-02-28T11:45:05Z,PT6M16S
I_uF-WQTzlA,2025-03-01T11:00:20Z,PT12M18S
AsbgZNQfKTA,2025-03-01T13:00:21Z,PT7M
UllRpk_iZe8,2025-03-02T00:25:32Z,PT23M26S
5kTsTh6tmNM,2025-03-02T22:10:14Z,PT41S
j3zMef81XMM,2025-03-03T10:00:06Z,PT13M5S
TvqaJwkxjcY,2025-03-04T08:03:00Z,PT8M18S
l8Q-NSVYEa0,2025-03-04T11:01:06Z,PT19M47S
RHsSshx1MBg,2025-03-05T22:30:07Z,PT16M51S
k7lgyh1aDBY,2025-03-06T10:01:01Z,PT9M58S
olTxVXqFosE,2025-03-06T11:01:09Z,PT59S
eFTib1roRn4,2025-03-07T10:00:07Z,PT13M18S
Afhynrg3OeQ,2025-03-07T22:00:08Z,PT3M46S
pjiQQPU5soY,2025-03-08T11:01:09Z,PT18M10S
1diDr2VDnhY,2025-03-10T10:00:06Z,PT12M17S
QcD_PeHe_AI,2025-03-11T08:03:00Z,PT7M19S
yIdrDIOkcKU,2025-03-11T11:01:17Z,PT22M53S
WES3I5KjalQ,2025-03-11T22:45:01Z,PT18M17S
Mj2VD9vLDrE,2025-03-13T02:56:30Z,PT5M8S
Xr53YjCuCbk,2025-03-13T10:00:42Z,PT19M54S
qaWNdzh7l5E,2025-03-14T01:15:06Z,PT5M23S
UJM1Vu2sj8Q,2025-03-14T10:00:06Z,PT13M4S
UROjlR4gXig,2025-03-14T11:00:52Z,PT23M2S
Nf0ng8FnGnY,2025-03-14T21:00:32Z,PT4M43S
gouO7j-Igno,2025-03-15T21:00:24Z,PT22M28S
69c-ewycBrM,2025-03-17T09:09:00Z,PT28M
0SnJio-0MQQ,2025-03-17T10:00:06Z,PT14M22S
ScdC68lTTyQ,2025-03-18T11:00:42Z,PT22M53S
2Qvv5iEqaM4,2025-03-20T10:00:08Z,PT12M50S
dQQogt6TWuk,2025-03-21T10:00:06Z,PT12M30S
UxNP1IgK8WM,2025-03-21T23:00:24Z,PT3M4S
0kzOwt1WIvI,2025-03-22T08:03:00Z,PT23M15S
